Name,Ancelin2006,Rudolph2008,Carnahan2006,Ancelin2006,Ehrt2010,Sittironnarit2011,Bishara2020,ACBcalc,MajVote
cyproheptadine ,,,,,,,3,,3
dothiepin ,,,,,,,3,,3
doxepin ,,,,,,,3,,3
hyoscine hydrobromide ,,,,,,,3,,3
imipramine ,,,,,,,3,,3
lofepramine ,,,,,,,3,,3
nortriptyline ,,,,,,,3,,3
orphenadrine ,,,,,,,3,,3
oxybutynin ,,,,,,,3,,3
procyclidine ,,,,,,,3,,3
promethazine ,,,,,,,3,,3
trihexyphenidryl,,,,,,,3,,3
benzhexol,,,,,,,3,,3
trimipramine ,,,,,,,3,,3
acldinium,,,,,,,,1,1
chlortalidone,,,,,,,,1,1
ciclosporin,,,,,,,,1,1
clindamycin,,,,,,,,1,1
co-codamol,,,,,,,,1,1
desloratidine,,,,,,,,1,1
dimetindene,,,,,,,,1,1
etoricoxib,,,,,,,,1,1
glycopyrronium,,,,,,,,1,1
hyoscine hydrobromide,,,,,,,,3,3
isosorbide dinitrate,,,,,,,,1,1
isosorbide mononitrate,,,,,,,,1,1
ketoralac,,,,,,,,1,1
loratidine,,,,,,,,1,1
methadone,,,,,,,,2,2
phenobarbitol,,,,,,,,1,1
rotigotine,,,,,,,,1,1
tranolapril,,,,,,,,1,1
trazadone,,,,,,,,1,1
valproic acid,,,,,,,,1,1
